engagement_id,client_id,engagement_type,start_date,end_date,duration_weeks,negotiated_fee,standard_value_at_list_rates,team_size
E10001,C1000,Risk & Controls Review,2025-10-01,2026-04-29,30,386481.32,519476.09,13
E10002,C1001,Tax Advisory,2025-09-01,2026-03-23,29,356734.98,411205.33,10
E10003,C1002,Audit Support,2025-02-01,2025-06-21,20,429962.36,536369.05,14
E10004,C1002,Systems Implementation,2025-02-01,2025-03-15,6,69337.92,75251.25,13
E10005,C1003,Process Improvement,2025-04-01,2025-07-01,13,161492.55,222117.46,13
E10006,C1003,ESG Reporting Advisory,2024-02-01,2024-09-19,33,654280.26,766161.26,11
E10007,C1003,Tax Advisory,2023-10-01,2023-11-12,6,50538.84,73153.51,10
E10008,C1004,Systems Implementation,2025-01-01,2025-06-11,23,360801.17,396695.97,11
E10009,C1005,Forensic Accounting,2025-05-01,2025-12-11,32,839498.5,755911.88,13
E10010,C1006,Audit Support,2024-11-01,2025-02-14,15,218337.97,272459.1,12
E10011,C1006,Regulatory Compliance,2024-06-01,2024-07-13,6,77900.17,86387.91,10
E10012,C1007,Process Improvement,2025-11-01,2026-04-18,24,636297.46,611000.6,13
E10013,C1007,Risk & Controls Review,2025-03-01,2025-07-05,18,234977.65,311557.25,11
E10014,C1008,Internal Controls Testing,2024-07-01,2025-01-20,29,542828.07,494624.85,11
E10015,C1008,Systems Implementation,2025-08-01,2025-10-03,9,180775.57,197591.41,14
E10016,C1009,Tax Advisory,2024-09-01,2025-02-02,22,268671.27,308971.24,9
E10017,C1009,M&A Advisory,2025-09-01,2026-04-20,33,475098.9,546849.67,12
E10018,C1010,Audit Support,2025-03-01,2025-07-26,21,285355.46,379159.88,12
E10019,C1010,Forensic Accounting,2024-01-01,2024-05-06,18,342836.8,297509.24,10
E10020,C1010,Tax Advisory,2023-08-01,2023-10-24,12,278583.57,226684.58,11
E10021,C1010,Regulatory Compliance,2024-06-01,2024-12-21,29,233547.91,292366.17,10
E10022,C1011,Financial Due Diligence,2024-09-01,2025-02-02,22,207415.64,260860.85,10
E10023,C1011,Systems Implementation,2025-10-01,2026-04-01,26,412681.97,518952.1,8
E10024,C1011,Internal Controls Testing,2025-02-01,2025-06-14,19,342998.69,329459.1,12
E10025,C1011,Tax Advisory,2025-08-01,2025-08-29,4,98125.43,96483.17,13
E10026,C1012,Tax Advisory,2024-05-01,2025-01-01,35,269493.93,389982.15,9
E10027,C1013,Cybersecurity Risk Assessment,2025-06-01,2026-01-04,31,535163.23,523480.91,10
E10028,C1014,Cybersecurity Risk Assessment,2025-05-01,2025-12-04,31,542908.67,607760.05,13
E10029,C1014,Tax Advisory,2024-01-01,2024-02-12,6,111448.34,120989.75,11
E10030,C1015,ESG Reporting Advisory,2024-05-01,2024-11-27,30,382660.83,495868.31,14
E10031,C1016,M&A Advisory,2024-07-01,2024-09-16,11,138811.99,151598.8,10
E10032,C1016,Cybersecurity Risk Assessment,2025-03-01,2025-09-20,29,307208.44,285373.91,10
E10033,C1017,Systems Implementation,2025-07-01,2025-08-05,5,65966.18,84470.5,11
E10034,C1017,Systems Implementation,2025-05-01,2025-06-05,5,71679.77,71575.45,8
E10035,C1018,Systems Implementation,2025-06-01,2025-11-02,22,323445.39,588082.52,14
E10036,C1019,Tax Advisory,2023-04-01,2023-04-29,4,74596.11,94408.12,12
E10037,C1020,M&A Advisory,2023-06-01,2023-12-21,29,599929.35,565266.05,10
E10038,C1020,ESG Reporting Advisory,2025-11-01,2026-05-02,26,383885.58,450264.0,12
E10039,C1021,Forensic Accounting,2025-02-01,2025-07-05,22,301928.66,381473.06,12
E10040,C1022,Forensic Accounting,2023-03-01,2023-04-05,5,86613.29,76596.64,10
E10041,C1022,Audit Support,2023-03-01,2023-06-07,14,232969.56,329364.52,14
E10042,C1023,Risk & Controls Review,2023-01-01,2023-06-25,25,249453.77,381667.9,10
E10043,C1023,ESG Reporting Advisory,2024-08-01,2025-02-27,30,498968.44,551746.89,11
E10044,C1023,Risk & Controls Review,2025-01-01,2025-03-12,10,207018.1,218251.48,12
E10045,C1024,Regulatory Compliance,2023-06-01,2024-01-04,31,417799.7,549870.17,15
E10046,C1025,Financial Due Diligence,2024-06-01,2024-09-14,15,278842.27,294090.97,11
E10047,C1026,Internal Controls Testing,2025-07-01,2025-08-05,5,68167.81,73690.69,11
E10048,C1026,Regulatory Compliance,2023-10-01,2024-05-05,31,618691.89,637644.79,12
E10049,C1027,Financial Due Diligence,2023-02-01,2023-08-23,29,410896.3,467135.78,11
E10050,C1027,Systems Implementation,2024-01-01,2024-08-19,33,445320.29,524420.42,11
E10051,C1027,Tax Advisory,2023-11-01,2024-01-17,11,125145.42,150059.01,9
E10052,C1027,Tax Advisory,2023-09-01,2024-03-01,26,413968.42,401351.34,9
E10053,C1028,Forensic Accounting,2023-09-01,2023-10-20,7,124998.75,143695.37,14
E10054,C1028,Financial Due Diligence,2024-06-01,2024-12-14,28,353782.02,405726.22,11
E10055,C1029,Cybersecurity Risk Assessment,2023-09-01,2024-03-29,30,486500.09,500194.16,15
E10056,C1029,Risk & Controls Review,2023-08-01,2024-02-06,27,583933.75,560797.84,11
E10057,C1030,Forensic Accounting,2025-05-01,2025-07-03,9,143853.35,154489.34,10
E10058,C1030,Forensic Accounting,2023-10-01,2024-03-03,22,260792.73,304167.7,11
E10059,C1031,Financial Due Diligence,2024-03-01,2024-07-19,20,385863.28,424086.3,12
E10060,C1031,Process Improvement,2025-03-01,2025-04-26,8,94295.1,85569.5,10
E10061,C1031,Internal Controls Testing,2024-11-01,2025-05-30,30,578027.63,531461.24,14
E10062,C1032,Regulatory Compliance,2023-11-01,2024-01-31,13,101741.86,184985.21,10
E10063,C1032,ESG Reporting Advisory,2023-02-01,2023-03-01,4,68414.13,70675.95,11
E10064,C1032,Systems Implementation,2025-03-01,2025-09-13,28,239130.62,286382.95,10
