client_id,fiscal_quarter,allocated_overhead
C1000,2024-Q1,2771.94
C1000,2024-Q2,3228.34
C1000,2024-Q3,2507.53
C1000,2024-Q4,3403.23
C1000,2025-Q1,1246.24
C1000,2025-Q2,2252.45
C1000,2025-Q3,2437.04
C1000,2025-Q4,3633.13
C1001,2024-Q1,4158.12
C1001,2024-Q2,2734.45
C1001,2024-Q3,2785.5
C1001,2024-Q4,2568.2
C1001,2025-Q1,3748.01
C1001,2025-Q2,2506.75
C1001,2025-Q3,2536.93
C1001,2025-Q4,2135.11
C1002,2024-Q1,2474.64
C1002,2024-Q2,3673.88
C1002,2024-Q3,3664.95
C1002,2024-Q4,2643.19
C1002,2025-Q1,4362.11
C1002,2025-Q2,3373.24
C1002,2025-Q3,3747.15
C1002,2025-Q4,2916.33
C1003,2024-Q1,3911.35
C1003,2024-Q2,4922.78
C1003,2024-Q3,3364.79
C1003,2024-Q4,4086.12
C1003,2025-Q1,4357.25
C1003,2025-Q2,4391.7
C1003,2025-Q3,4561.86
C1003,2025-Q4,3892.34
C1004,2024-Q1,1516.11
C1004,2024-Q2,3281.38
C1004,2024-Q3,3147.33
C1004,2024-Q4,2783.51
C1004,2025-Q1,2370.43
C1004,2025-Q2,2843.42
C1004,2025-Q3,2320.35
C1004,2025-Q4,1778.62
C1005,2024-Q1,2910.67
C1005,2024-Q2,2007.27
C1005,2024-Q3,3084.09
C1005,2024-Q4,3203.63
C1005,2025-Q1,2673.45
C1005,2025-Q2,2556.68
C1005,2025-Q3,3464.88
C1005,2025-Q4,2509.24
C1006,2024-Q1,2128.98
C1006,2024-Q2,3671.97
C1006,2024-Q3,4382.68
C1006,2024-Q4,4210.87
C1006,2025-Q1,3060.66
C1006,2025-Q2,3814.41
C1006,2025-Q3,3058.51
C1006,2025-Q4,4748.21
C1007,2024-Q1,2185.84
C1007,2024-Q2,3442.21
C1007,2024-Q3,4731.89
C1007,2024-Q4,2194.02
C1007,2025-Q1,2118.57
C1007,2025-Q2,3747.86
C1007,2025-Q3,3666.76
C1007,2025-Q4,3171.01
C1008,2024-Q1,3827.69
C1008,2024-Q2,2951.67
C1008,2024-Q3,4858.74
C1008,2024-Q4,2724.45
C1008,2025-Q1,3204.8
C1008,2025-Q2,4155.76
C1008,2025-Q3,3601.18
C1008,2025-Q4,2858.28
C1009,2024-Q1,3870.55
C1009,2024-Q2,3365.5
C1009,2024-Q3,3575.66
C1009,2024-Q4,3985.78
C1009,2025-Q1,2968.75
C1009,2025-Q2,3560.17
C1009,2025-Q3,3417.42
C1009,2025-Q4,2618.15
C1010,2024-Q1,6754.85
C1010,2024-Q2,4497.98
C1010,2024-Q3,4150.68
C1010,2024-Q4,6390.79
C1010,2025-Q1,4051.49
C1010,2025-Q2,4591.25
C1010,2025-Q3,5531.38
C1010,2025-Q4,5265.67
C1011,2024-Q1,5259.93
C1011,2024-Q2,2830.5
C1011,2024-Q3,4795.19
C1011,2024-Q4,4409.34
C1011,2025-Q1,4225.64
C1011,2025-Q2,5630.93
C1011,2025-Q3,5552.64
C1011,2025-Q4,4823.87
C1012,2024-Q1,2963.33
C1012,2024-Q2,2783.92
C1012,2024-Q3,2752.67
C1012,2024-Q4,2895.83
C1012,2025-Q1,2766.97
C1012,2025-Q2,2248.99
C1012,2025-Q3,3616.74
C1012,2025-Q4,2841.76
C1013,2024-Q1,1734.18
C1013,2024-Q2,2002.2
C1013,2024-Q3,1943.96
C1013,2024-Q4,2183.26
C1013,2025-Q1,2284.04
C1013,2025-Q2,1663.14
C1013,2025-Q3,2603.76
C1013,2025-Q4,3388.4
C1014,2024-Q1,2982.15
C1014,2024-Q2,3226.54
C1014,2024-Q3,3305.9
C1014,2024-Q4,1903.11
C1014,2025-Q1,3688.32
C1014,2025-Q2,2090.5
C1014,2025-Q3,2442.57
C1014,2025-Q4,4190.91
C1015,2024-Q1,1785.14
C1015,2024-Q2,2632.14
C1015,2024-Q3,2591.38
C1015,2024-Q4,2929.6
C1015,2025-Q1,1963.53
C1015,2025-Q2,2668.66
C1015,2025-Q3,3536.36
C1015,2025-Q4,2862.18
C1016,2024-Q1,3384.95
C1016,2024-Q2,3005.73
C1016,2024-Q3,3136.93
C1016,2024-Q4,4090.1
C1016,2025-Q1,4286.61
C1016,2025-Q2,3876.29
C1016,2025-Q3,3005.32
C1016,2025-Q4,2592.45
C1017,2024-Q1,2908.37
C1017,2024-Q2,4128.2
C1017,2024-Q3,4199.33
C1017,2024-Q4,2670.35
C1017,2025-Q1,3002.87
C1017,2025-Q2,2994.77
C1017,2025-Q3,3371.12
C1017,2025-Q4,3134.24
C1018,2024-Q1,2850.46
C1018,2024-Q2,2805.69
C1018,2024-Q3,2614.08
C1018,2024-Q4,2959.85
C1018,2025-Q1,2751.39
C1018,2025-Q2,2376.46
C1018,2025-Q3,2471.15
C1018,2025-Q4,2904.88
C1019,2024-Q1,3054.66
C1019,2024-Q2,2571.58
C1019,2024-Q3,3064.76
C1019,2024-Q4,3041.48
C1019,2025-Q1,2636.09
C1019,2025-Q2,2622.84
C1019,2025-Q3,3258.93
C1019,2025-Q4,3187.61
C1020,2024-Q1,4003.19
C1020,2024-Q2,3663.47
C1020,2024-Q3,3051.09
C1020,2024-Q4,3972.58
C1020,2025-Q1,2312.49
C1020,2025-Q2,3818.56
C1020,2025-Q3,3362.93
