time_entry_id,engagement_id,client_id,staff_id,staff_level,week_start_date,hours_logged,billing_rate_per_hr,cost_rate_per_hr,billed_amount,cost_amount
T100001,E10001,C1000,S1003,Partner,2025-10-01,3.6,450,180,1620.0,648.0
T100002,E10001,C1000,S1003,Partner,2025-10-29,0.8,450,180,360.0,144.0
T100003,E10001,C1000,S1003,Partner,2025-11-12,2.9,450,180,1305.0,522.0
T100004,E10001,C1000,S1003,Partner,2025-11-26,2.2,450,180,990.0,396.0
T100005,E10001,C1000,S1003,Partner,2025-12-03,2.9,450,180,1305.0,522.0
T100006,E10001,C1000,S1003,Partner,2025-12-10,2.4,450,180,1080.0,432.0
T100007,E10001,C1000,S1003,Partner,2025-12-17,2.1,450,180,945.0,378.0
T100008,E10001,C1000,S1003,Partner,2025-12-24,1.9,450,180,855.0,342.0
T100009,E10001,C1000,S1003,Partner,2025-12-31,2.0,450,180,900.0,360.0
T100010,E10001,C1000,S1003,Partner,2026-01-07,2.2,450,180,990.0,396.0
T100011,E10001,C1000,S1003,Partner,2026-01-21,2.6,450,180,1170.0,468.0
T100012,E10001,C1000,S1003,Partner,2026-01-28,2.7,450,180,1215.0,486.0
T100013,E10001,C1000,S1003,Partner,2026-02-04,3.0,450,180,1350.0,540.0
T100014,E10001,C1000,S1003,Partner,2026-02-11,4.0,450,180,1800.0,720.0
T100015,E10001,C1000,S1003,Partner,2026-02-18,2.1,450,180,945.0,378.0
T100016,E10001,C1000,S1003,Partner,2026-02-25,1.9,450,180,855.0,342.0
T100017,E10001,C1000,S1003,Partner,2026-03-04,2.3,450,180,1035.0,414.0
T100018,E10001,C1000,S1003,Partner,2026-03-11,2.0,450,180,900.0,360.0
T100019,E10001,C1000,S1003,Partner,2026-03-18,3.5,450,180,1575.0,630.0
T100020,E10001,C1000,S1003,Partner,2026-03-25,2.2,450,180,990.0,396.0
T100021,E10001,C1000,S1003,Partner,2026-04-01,3.0,450,180,1350.0,540.0
T100022,E10001,C1000,S1003,Partner,2026-04-15,4.2,450,180,1890.0,756.0
T100023,E10001,C1000,S1003,Partner,2026-04-22,2.9,450,180,1305.0,522.0
T100024,E10001,C1000,S1024,Senior Manager,2025-10-22,13.2,320,140,4224.0,1848.0
T100025,E10001,C1000,S1024,Senior Manager,2025-10-29,14.8,320,140,4736.0,2072.0
T100026,E10001,C1000,S1024,Senior Manager,2025-11-05,12.7,320,140,4064.0,1778.0
T100027,E10001,C1000,S1024,Senior Manager,2025-11-12,12.6,320,140,4032.0,1764.0
T100028,E10001,C1000,S1024,Senior Manager,2025-11-26,8.3,320,140,2656.0,1162.0
T100029,E10001,C1000,S1024,Senior Manager,2025-12-03,7.6,320,140,2432.0,1064.0
T100030,E10001,C1000,S1024,Senior Manager,2025-12-10,11.3,320,140,3616.0,1582.0
T100031,E10001,C1000,S1024,Senior Manager,2025-12-17,9.2,320,140,2944.0,1288.0
T100032,E10001,C1000,S1024,Senior Manager,2025-12-24,16.8,320,140,5376.0,2352.0
T100033,E10001,C1000,S1024,Senior Manager,2025-12-31,7.1,320,140,2272.0,994.0
T100034,E10001,C1000,S1024,Senior Manager,2026-01-07,18.3,320,140,5856.0,2562.0
T100035,E10001,C1000,S1024,Senior Manager,2026-01-14,10.7,320,140,3424.0,1498.0
T100036,E10001,C1000,S1024,Senior Manager,2026-01-28,12.6,320,140,4032.0,1764.0
T100037,E10001,C1000,S1024,Senior Manager,2026-02-04,10.6,320,140,3392.0,1484.0
T100038,E10001,C1000,S1024,Senior Manager,2026-02-11,18.0,320,140,5760.0,2520.0
T100039,E10001,C1000,S1024,Senior Manager,2026-02-18,17.3,320,140,5536.0,2422.0
T100040,E10001,C1000,S1024,Senior Manager,2026-02-25,12.7,320,140,4064.0,1778.0
T100041,E10001,C1000,S1024,Senior Manager,2026-03-11,5.1,320,140,1632.0,714.0
T100042,E10001,C1000,S1024,Senior Manager,2026-03-18,15.2,320,140,4864.0,2128.0
T100043,E10001,C1000,S1024,Senior Manager,2026-03-25,14.1,320,140,4512.0,1974.0
T100044,E10001,C1000,S1024,Senior Manager,2026-04-01,9.6,320,140,3072.0,1344.0
T100045,E10001,C1000,S1024,Senior Manager,2026-04-08,23.2,320,140,7424.0,3248.0
T100046,E10001,C1000,S1024,Senior Manager,2026-04-15,12.4,320,140,3968.0,1736.0
T100047,E10001,C1000,S1024,Senior Manager,2026-04-22,10.4,320,140,3328.0,1456.0
T100048,E10001,C1000,S1026,Senior Manager,2025-10-01,7.6,320,140,2432.0,1064.0
T100049,E10001,C1000,S1026,Senior Manager,2025-10-08,10.8,320,140,3456.0,1512.0
T100050,E10001,C1000,S1026,Senior Manager,2025-10-15,5.4,320,140,1728.0,756.0
T100051,E10001,C1000,S1026,Senior Manager,2025-11-05,11.9,320,140,3808.0,1666.0
T100052,E10001,C1000,S1026,Senior Manager,2025-12-03,12.1,320,140,3872.0,1694.0
T100053,E10001,C1000,S1026,Senior Manager,2025-12-10,17.2,320,140,5504.0,2408.0
T100054,E10001,C1000,S1026,Senior Manager,2025-12-24,11.2,320,140,3584.0,1568.0
T100055,E10001,C1000,S1026,Senior Manager,2026-01-07,11.2,320,140,3584.0,1568.0
T100056,E10001,C1000,S1026,Senior Manager,2026-01-14,14.2,320,140,4544.0,1988.0
T100057,E10001,C1000,S1026,Senior Manager,2026-01-21,10.0,320,140,3200.0,1400.0
T100058,E10001,C1000,S1026,Senior Manager,2026-01-28,12.6,320,140,4032.0,1764.0
T100059,E10001,C1000,S1026,Senior Manager,2026-02-18,5.3,320,140,1696.0,742.0
T100060,E10001,C1000,S1026,Senior Manager,2026-03-04,15.9,320,140,5088.0,2226.0
T100061,E10001,C1000,S1026,Senior Manager,2026-03-11,7.2,320,140,2304.0,1008.0
T100062,E10001,C1000,S1026,Senior Manager,2026-03-18,7.0,320,140,2240.0,980.0
T100063,E10001,C1000,S1026,Senior Manager,2026-03-25,14.0,320,140,4480.0,1960.0
T100064,E10001,C1000,S1026,Senior Manager,2026-04-01,8.7,320,140,2784.0,1218.0
T100065,E10001,C1000,S1026,Senior Manager,2026-04-08,5.2,320,140,1664.0,728.0
T100066,E10001,C1000,S1026,Senior Manager,2026-04-15,13.3,320,140,4256.0,1862.0
T100067,E10001,C1000,S1026,Senior Manager,2026-04-22,12.9,320,140,4128.0,1806.0
T100068,E10001,C1000,S1051,Manager,2025-10-01,1.8,250,110,450.0,198.0
T100069,E10001,C1000,S1051,Manager,2025-10-08,1.1,250,110,275.0,121.0
T100070,E10001,C1000,S1051,Manager,2025-10-15,0.5,250,110,125.0,55.0
T100071,E10001,C1000,S1051,Manager,2025-11-05,3.2,250,110,800.0,352.0
T100072,E10001,C1000,S1051,Manager,2025-11-12,2.1,250,110,525.0,231.0
T100073,E10001,C1000,S1051,Manager,2025-11-19,2.5,250,110,625.0,275.0
T100074,E10001,C1000,S1051,Manager,2025-11-26,1.9,250,110,475.0,209.0
T100075,E10001,C1000,S1051,Manager,2025-12-03,1.8,250,110,450.0,198.0
T100076,E10001,C1000,S1051,Manager,2025-12-17,3.4,250,110,850.0,374.0
